stateabb,ccode,dem,cinc
MYA,775,0,0.005126025
MZM,541,0,0.001013514
NAM,565,1,0.000142914
NAU,970,0,0
NEP,790,0,0.001053667
NEW,920,1,0.000940143
NIC,93,1,0.000381712
NIG,475,0,0.007148848
NIR,436,0,0.000438063
NOR,385,1,0.001774521
NTH,210,1,0.006161202
OMA,698,0,0.000885214
PAK,770,1,0.013021221
PAL,986,0,6.62E-07
PAN,95,1,0.000320313
PAR,150,1,0.000435688
PER,135,0,0.003308135
PHI,840,1,0.005612532
PNG,910,0,0.000227239
POL,290,1,0.009189168
POR,235,1,0.001965868
PRK,731,0,0.011288072
QAT,694,0,0.000853707
ROK,732,1,0.024627605
ROM,360,1,0.005259633
RUS,365,0,0.055993713
RVN,817,0,0
RWA,517,0,0.000541956
SAF,560,1,0.007818131
SAL,92,1,0.000561675
SAU,670,0,0.009868625
SEN,433,0,0.000646021
SEY,591,0,5.32E-06
SIE,451,0,0.000256495
SIN,830,0,0.002899133
SKN,60,0,1.93E-06
SLO,317,1,0.001757755
SLU,56,0,4.51E-06
SLV,349,1,0.000382085
SNM,331,0,2.09E-06
SOL,940,1,1.21235E-05
SOM,520,0,0.000521108
SPN,230,1,0.010243047
SRI,780,0,0.001804104
SSD,626,0,0
STP,403,0,1.18099E-05
SUD,625,0,0.002425
SUR,115,0,5.84525E-05
SVG,57,0,3.35E-06
SWA,572,0,6.31421E-05
SWD,380,1,0.003799808
SWZ,225,1,0.001777872
SYR,652,0,0.004263514
TAJ,702,0,0.000392923
TAW,713,1,0.011198747
TAZ,510,0,0.001794241
THI,800,1,0.007293566
TKM,701,0,0.000645844
TOG,461,0,0.000296164
TON,955,0,0
TRI,52,1,0.00042847
TUN,616,0,0.000858025
TUR,640,1,0.01644977
TUV,947,0,0
UAE,696,0,0.002034945
UGA,500,0,0.001228413
UKG,200,1,0.023832817
UKR,369,1,0.014771375
URU,165,1,0.000521767
USA,2,1,0.13952261
UZB,704,0,0.00270813
VAN,935,0,5.23E-06
VEN,101,1,0.005136119
WSM,990,0,5.20E-06
YAR,678,0,0
YEM,679,0,0.001391265
YPR,680,0,0
YUG,345,0,0.002472145
ZAM,551,0,0.000781653
ZAN,511,0,0
ZIM,552,0,0.001090748
