stateabb,ccode,dem,cinc
AAB,58,0,2.71E-06
AFG,700,0,0.001220815
ALB,339,0,0.000567626
ALG,615,0,0.00396443
AND,232,0,2.63E-06
ANG,540,0,0.001519265
ARG,160,1,0.006090661
ARM,371,0,0.000773536
AUH,300,0,0
AUL,900,1,0.007993279
AUS,305,1,0.002703746
AZE,373,0,0.00131001
BAH,692,0,0.000519623
BAR,53,0,1.56976E-05
BEL,211,1,0.00480677
BEN,434,1,0.000360053
BFO,439,0,0.000546104
BHM,31,0,3.4725E-05
BHU,760,0,0.000154994
BLR,370,0,0.002050188
BLZ,80,0,1.94191E-05
BNG,771,1,0.006208917
BOL,145,1,0.000907916
BOS,346,0,0.000585786
BOT,571,1,0.000192494
BRA,140,1,0.026327813
BRU,835,0,0.000161403
BUI,516,0,0.000515733
BUL,355,1,0.002089716
CAM,811,0,0.001119585
CAN,20,1,0.011165077
CAO,471,0,0.000867075
CAP,402,1,2.05498E-05
CDI,437,0,0.001030684
CEN,482,0,0.00021719
CHA,483,0,0.000594556
CHL,155,1,0.003288724
CHN,710,0,0.14923614
COL,100,1,0.005167549
COM,581,0,2.91989E-05
CON,484,0,0.000345811
COS,94,1,0.000283388
CRO,344,0,0.001103665
CUB,40,0,0.001488785
CYP,352,1,0.00025615
CZE,315,0,0
CZR,316,1,0.003283597
DEN,390,1,0.001640168
DJI,522,0,0.000119888
DMA,54,0,2.16E-06
DOM,42,1,0.000796865
DRC,490,0,0.002980182
DRV,816,0,0.008619385
ECU,130,1,0.001615275
EGY,651,0,0.008937121
EQG,411,0,3.81541E-05
ERI,531,0,0.000603396
EST,366,1,0.000193443
ETH,530,0,0.003114732
ETM,860,0,0
FIJ,950,0,8.68884E-05
FIN,375,1,0.002154606
FRN,220,1,0.021973824
FSM,987,0,3.85E-06
GAB,481,0,0.000213605
GAM,420,0,4.59424E-05
GDR,265,0,0
GFR,260,0,0
GHA,452,0,0.000994934
GMY,255,1,0.029105473
GNB,404,0,0.000110323
GRC,350,1,0.004064338
GRG,372,0,0.000474215
GRN,55,0,2.86E-06
GUA,90,1,0.000759136
GUI,438,0,0.000428752
GUY,110,1,5.66749E-05
HAI,41,1,0.000404712
HON,91,1,0.000458951
HUN,310,1,0.001908948
ICE,395,0,3.72805E-05
IND,750,1,0.066221163
INS,850,0,0.016636888
IRE,205,1,0.000682546
IRN,630,0,0.012790499
IRQ,645,0,0.005913066
ISR,666,1,0.004521577
ITA,325,1,0.019076075
JAM,51,1,0.000193578
JOR,663,0,0.001361922
JPN,740,1,0.051108789
KEN,501,0,0.001572064
KIR,946,0,0
KOR,730,0,0
KOS,347,0,0
KUW,690,0,0.002094763
KYR,703,0,0.000378286
KZK,705,0,0.003152143
LAO,812,0,0.000608838
LAT,367,1,0.000377045
LBR,450,0,0.000187893
LEB,660,0,0.000764526
LES,570,1,0.000106281
LIB,620,0,0.001935829
LIE,223,0,1.10E-06
LIT,368,1,0.000513839
LUX,212,1,0.000608458
MAA,435,0,0.000255099
MAC,343,1,0.000285919
MAD,781,0,9.55E-06
MAG,580,1,0.000747312
MAL,820,0,0.003871052
MAS,590,1,8.02061E-05
MAW,553,1,0.000485942
MEX,70,1,0.014141668
MLD,359,1,0.000511958
MLI,432,1,0.000522667
MLT,338,0,3.45179E-05
MNC,221,0,2.56E-06
MNG,341,0,0
MON,712,1,0.000322201
MOR,600,0,0.003773753
MSI,983,0,1.86E-06
