stateabb
AAB
AFG
ALB
ALG
AND
ANG
ARG
ARM
AUH
AUL
AUS
AZE
BAH
BAR
BEL
BEN
BFO
BHM
BHU
BLR
BLZ
BNG
BOL
BOS
BOT
BRA
BRU
BUI
BUL
CAM
CAN
CAO
CAP
CDI
CEN
CHA
CHL
CHN
COL
COM
CON
COS
CRO
CUB
CYP
CZE
CZR
DEN
DJI
DMA
DOM
DRC
DRV
ECU
EGY
EQG
ERI
EST
ETH
ETM
FIJ
FIN
FRN
FSM
GAB
GAM
GDR
GFR
GHA
GMY
GNB
GRC
GRG
GRN
GUA
GUI
GUY
HAI
HON
HUN
ICE
IND
INS
IRE
IRN
IRQ
ISR
ITA
JAM
JOR
JPN
KEN
KIR
KOR
KOS
KUW
KYR
KZK
LAO
LAT
LBR
LEB
LES
LIB
LIE
LIT
LUX
MAA
MAC
MAD
MAG
MAL
MAS
MAW
MEX
MLD
MLI
MLT
MNC
MNG
MON
MOR
MSI
MYA
MZM
NAM
NAU
NEP
NEW
NIC
NIG
NIR
NOR
NTH
OMA
PAK
PAL
PAN
PAR
PER
PHI
PNG
POL
POR
PRK
QAT
ROK
ROM
RUS
RVN
RWA
SAF
SAL
SAU
SEN
SEY
SIE
SIN
SKN
SLO
SLU
SLV
SNM
SOL
SOM
SPN
SRI
SSD
STP
SUD
SUR
SVG
SWA
SWD
SWZ
SYR
TAJ
TAW
TAZ
THI
TKM
TOG
TON
TRI
TUN
TUR
TUV
UAE
UGA
UKG
UKR
URU
USA
UZB
VAN
VEN
WSM
YAR
YEM
YPR
YUG
ZAM
ZAN
ZIM
